what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1604625802576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604625816853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604625820746
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1604625820793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604625822867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604625831091
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1604625842179
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1604625842632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1604626193353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626194135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626646975
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1604626649406
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1604626651672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1604626659601
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1604626672043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626674215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626684678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626684991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626689897
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1604626697740
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1604626698053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626710933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626718045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1604626740975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1604626744444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1604626749068
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1604626750443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626752209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626755068
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1604626761842
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1604626761983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626772216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626792991
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1604626795690
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1604626797474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626816321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626816352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626816992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626819742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626822555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626828469
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1604626828507
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1604626834213
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1604626835620
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1604626835713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626843284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626845969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626852111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604626853596
